id	status	resolution
1	Fixed	Supply the missing cyclic-search implementation and verify clean import and cyclic construction.
2	Fixed; scientific scope limited	Use the Rosetta mixed-chirality disulfide distribution with shared derivatives; check LL/DD/LD/DL, permutation and reflection.
3	Fixed	Key group anchors by pose and block in both producers and consumers.
4	Fixed	Separate the anchor-library cardinality multiplier from independently numbered child chi samples.
5	Fixed	Carry original sample indices through budget selection instead of reconstructing ownership from chi names.
6	Fixed	Validate declared joint-member counts before native pair enumeration and remove per-block scalar reads.
7	Fixed	Use an exclusive-endpoint prefix map and preserve negative sentinels for empty trailing blocks.
8	Fixed for explicit per-residue limits	Propagate task limits through conversion using private sampler views; check actual library, group and aggregate counts before final row allocation. Default and whole-task/pair-memory policies remain open.
9	Fixed	Own group-tree caches on their PackedBlockTypes instead of reusing local indices across databases.
10	Fixed	Use contiguous residue boundaries, including insertion codes, for completion, representatives and cross-residue detection.
11	Fixed	Select one canonical attachment residue instance without merging equally numbered residues across chains.
12	Fixed	Identify hydrogens by element so digit-prefixed hydrogen names do not invalidate heavy-atom templates.
13	Fixed and optimized	Frame hashed values by type and length, preserve tensor metadata boundaries and hash buffer views without a full bytes copy.
14	Fixed	Include sampler configuration and chemistry in annotation validity; retain only the latest tables and isolate task overrides.
15	Optimized	Hoist invariant group-tree tensors and batch forward/inverse kinematics in bounded chunks; retain scalar-reference parity tests.
16	Optimized	Concatenate CIF pieces once, assemble bonds once, cache component templates per read and lazily select representatives.
17	Partially addressed by 35	Preserve cyclic and external constraints by restricting independent axes; alternative ring puckers and a general closure sampler remain outside the implemented contract.
18	Simplified	Share connection-centred cartbonded improper enumeration and lookup across all four native score/gradient paths.
19	Simplified	Remove duplicated surviving-torsion and chi filtering after atom removal.
20	Fixed by 29	Replace unbounded integer-identity profile caches with the shared bounded weak-owner cache.
21	Fixed	Make group-packing tests and examples use the returned preparation context's parameter_database.
22	Fixed	Align terminal-cap representation and candidate classification; validate ACE/NH2/NME construction, geometry, scoring, gradients and packing.
23	Open validation/provenance issue	Preserve failing score goldens; separate fresh-preparation discrepancies from pinned-input numerical replay instead of silently refreshing references.
24	Improved validation	Measure signed stereocentre volumes in offered and packed D conformers and verify mirrored-library use; full-atom mirror matching is added in 73–76.
25	Resolved upstream; merged	Retain Frank's corrected fold-tree edge expectations at conjugation branch points.
26	Fixed	Select explicit fragment candidates and let the exact original-instance cut-bond mapping own restoration.
27	Resolved upstream and independently checked	Use 18 HYP states and separately verify two library states times nine hydroxyl angles; preserve explicit-budget checks.
